SYMBOL,COMPANY,INDUSTRY,SERIES,FACEVALUE,PURPOSE,EXDATE,RECORDDATE,BCSTARTDATE,BCENDDATE,NDSTARTDATE,NDENDDATE,DOWNDAY
VAIBHAVGBL,Vaibhav Global Limited,-,EQ,10, Interim Dividend - Rs 7 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
SRF,SRF Limited,-,EQ,10, Interim Dividend - Rs 7 Per Share,2020-02-10,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
KPRMILL,K.P.R. Mill Limited,-,EQ,5, Interim Dividend - Rs 3.75 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
RECLTD,REC Limited,-,EQ,10, Interim Dividend - Rs 11 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
BROOKS,Brooks Laboratories Limited,-,EQ,10, Rights 9:20 @ Premium Rs 10/-,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
TVSMOTOR,TVS Motor Company Limited,-,EQ,1, Interim Dividend - Rs 2.10 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
BEL,Bharat Electronics Limited,-,EQ,1, Interim Dividend - Rs 1.40 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
ARROWGREEN,Arrow Greentech Limited,-,EQ,10, Rights 1:5 @ Premium Rs 26/-,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
WELCORP,Welspun Corp Limited,-,EQ,5, Interim Dividend - Rs 10 Per Share,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
DHAMPURSUG,Dhampur Sugar Mills Limited,-,EQ,10, Interim Dividend - Rs 6 Per Share,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
DLF,DLF Limited,-,EQ,2, Interim Dividend - Rs 1.20 Per Share,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
IRBINVIT,IRB InvIT Fund,-,IV,102, Third Distribution - Interest Payment Rs 2 Per Unit/ Return Of Capital Re 0.70 Per Unit,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
ALKEM,Alkem Laboratories Limited,-,EQ,2, Interim Dividend - Rs 22 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
BLS,BLS International Services Limited,-,EQ,1, Interim Dividend - Rs 0.50 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
ARCHIDPLY,Archidply Industries Limited,-,EQ,10, Demerger,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
82GS2022,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
828GS2032,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
824GS2027,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
TI,Tilaknagar Industries Limited,-,EQ,10, Extra Ordinary General Meeting,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
MOIL,MOIL Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
IIFLSEC,IIFL Securities Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
KEC,KEC International Limited,-,EQ,2, Interim Dividend - Rs 3.4 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
IBULHSGFIN,Indiabulls Housing Finance Limited,-,EQ,2, Interim Dividend - Rs 6 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
SUPRAJIT,Suprajit Engineering Limited,-,EQ,1, Interim Dividend - Rs 0.75 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
METROPOLIS,Metropolis Healthcare Limited,-,EQ,2, Interim Dividend - Rs 8 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
ENGINERSIN,Engineers India Limited,-,EQ,5, Interim Dividend - Rs 3.60 Per Share,2020-02-14,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
STARCEMENT,Star Cement Limited,-,EQ,1, Interim Dividend - Re 1 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
SUNPHARMA,Sun Pharmaceutical Industries Limited,-,EQ,1, Interim Dividend - Rs 3 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
SYMPHONY,Symphony Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share/ Splecial Dividend - Rs 18 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
ADFFOODS,ADF Foods Limited,-,EQ,10, Interim Dividend - Rs 1.5 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
DALBHARAT,Dalmia Bharat Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
HEG,HEG Limited,-,EQ,10, Interim Dividend - Rs 25 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
HEROMOTOCO,Hero MotoCorp Limited,-,EQ,2, Interim Dividend - Rs 65 Per Sh,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
HIKAL,Hikal Limited,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
RITES,RITES Limited,-,EQ,10, Interim Dividend - Rs 4 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
IFGLEXPOR,IFGL Refractories Limited,-,EQ,10, Interim Dividend - Rs 2.50 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
KPITTECH,KPIT Technologies Limited,-,EQ,10, Interim Dividend - Rs 0.55 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
MINDACORP,Minda Corporation Limited,-,EQ,2, Int Dividend - Rs 0.35 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
MINDAIND,Minda Industries Limited,-,EQ,2, Interim Dividend - Rs 0.40 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
NHPC,NHPC Limited,-,EQ,10, Int Dividend - Rs 1.18 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
OSEINTRUST,Oriental InfraTrust,-,IV,100, Distribution - Rs 0.51 Per Unit,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
VIKASPROP,Vikas Proppant & Granite Limited,-,EQ,1, Interim Dividend - Re 0.10 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
GAIL,GAIL (India) Limited,-,EQ,10, Interim Dividend - Rs 6.4 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
